,"Jan 24","Feb 24","Mar 24","Apr 24","May 24","Jun 24","Jul 24","Aug 24","Sep 24","Oct 24","Nov 24","Dec 24","TOTAL"
"AAF/Flanders Corporation",3612.00,455.00,8089.79,15960.00,13531.79,0.00,0.00,0.00,1749.60,0.00,0.00,0.00,43398.18
"Aeolus Corporation",0.00,674.49,0.00,0.00,0.00,0.00,1129.38,0.00,9824.60,367.18,0.00,1988.88,13984.53
"Air Rite Service Supply, Inc",0.00,0.00,3690.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3690.20
"Aircon Filter Mfg. Co., Inc.",65.00,7970.00,0.00,1033.50,838.75,5542.25,0.00,0.00,712.25,1918.75,913.00,2988.00,21981.50
"American Integrated Services",0.00,0.00,1100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1100.00
"American Nonwoven, Inc. / VFT INC.",6401.40,1015.39,13836.80,7569.00,8264.50,9431.80,9246.85,5283.60,2657.80,2372.95,17633.73,6818.00,90531.82
"Arion Global Inc.",0.00,0.00,0.00,0.00,0.00,0.00,3536.25,0.00,0.00,0.00,0.00,0.00,3536.25
"Blocksom & Co.",0.00,4808.60,0.00,0.00,0.00,0.00,0.00,0.00,6702.30,0.00,0.00,3624.00,15134.90
"Blue Heaven Technologies",0.00,495.00,0.00,0.00,1530.00,0.00,0.00,0.00,0.00,870.00,0.00,0.00,2895.00
"Brentwood Industries",0.00,31068.80,48645.00,19123.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98837.00
"Caldwell Gasket",0.00,13860.24,0.00,0.00,0.00,0.00,14758.57,0.00,0.00,0.00,0.00,0.00,28618.81
"Camfill USA INC",0.00,0.00,0.00,3536.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,640.47,4176.53
"Cleanova",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10872.80,10872.80
"CNC, LLC",3915.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3915.00
"Columbus Industries, Inc.",0.00,19654.01,0.00,0.00,16423.47,0.00,1879.54,0.00,0.00,5403.66,17837.90,4581.33,65779.91
"Commercial Filters Sales",7472.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12540.00,5956.00,0.00,0.00,25968.00
"Contra Costa Metal Fabricators",0.00,0.00,0.00,0.00,0.00,62000.00,0.00,0.00,0.00,0.00,0.00,0.00,62000.00
"Elements Fiber, Inc.",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,401.28,0.00,401.28
"ERDCO Engineering Corp.",0.00,0.00,0.00,0.00,8497.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8497.86
"Ernest Packaging Solutions",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1595.70,0.00,1595.70
"Fiber Bond Corporation",2403.30,5678.72,0.00,0.00,0.00,60024.04,0.00,0.00,33865.36,528.00,0.00,15204.56,117703.98
"Fleetlife, Inc.",11216.80,0.00,2866.69,0.00,21412.00,41786.22,0.00,9349.64,17868.00,0.00,0.00,0.00,104499.35
"Fluitek Corporation. (PAID BY CC)",0.00,0.00,0.00,0.00,0.00,282.24,0.00,0.00,0.00,2671.98,545.10,480.84,3980.16
"Freudenberg Filtration Technologies, L.P.",71282.00,61568.00,134491.10,68087.00,70421.00,63148.50,81675.00,125061.00,78527.00,0.00,69670.00,79282.00,903212.60
"Glasfloss Industries",74794.45,64478.31,77406.56,118606.78,43181.96,61798.30,107096.78,35243.32,67108.92,52734.06,100545.69,127529.88,930525.01
"Harrington Industrial Plastics",0.00,0.00,0.00,0.00,0.00,0.00,0.00,465.12,0.00,0.00,0.00,0.00,465.12
"Hilliard Corporation",33831.40,21920.40,162697.12,31470.80,30750.28,34240.41,12154.32,11115.40,29341.32,5312.16,3081.76,22708.04,398623.41
"HuTek (Asia) Company Ltd",0.00,36312.27,18114.90,36312.27,0.00,0.00,59566.04,0.00,0.00,0.00,35419.46,0.00,185724.94
"Industrial Filtration, Inc.",0.00,0.00,0.00,0.00,159.20,1436.00,0.00,0.00,0.00,201.66,0.00,409.00,2205.86
"Keyston Bros",0.00,3254.20,1187.00,250.00,1240.32,0.00,0.00,0.00,0.00,0.00,1200.00,1040.00,8171.52
"Komar Alliance",0.00,2290.00,0.00,0.00,0.00,0.00,0.00,0.00,2290.00,0.00,0.00,0.00,4580.00
