,"Jan 23","Feb 23","Mar 23","Apr 23","May 23","Jun 23","Jul 23","Aug 23","Sep 23","Oct 23","Nov 23","Dec 23","TOTAL"
"AAF International",1730.00,0.00,1730.00,0.00,0.00,0.00,0.00,0.00,0.00,319.11,0.00,0.00,3779.11
"ABB Optical Group",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,446.36,446.36
"Abbvie",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7584.20,0.00,7584.20
"Acciona Energy USA Global LLC",0.00,7511.54,7387.26,0.00,42695.46,4608.40,6631.17,2918.88,901.15,6056.31,1816.91,3304.05,83831.13
"Accord Federal Services, LLC",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44889.33,44889.33
"Action Duct",0.00,689.50,0.00,0.00,0.00,0.00,507.50,0.00,0.00,0.00,0.00,0.00,1197.00
"Advantage Metal Products",0.00,385.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,385.00
"Aero Chrome Plating",901.28,0.00,0.00,0.00,0.00,577.28,0.00,0.00,0.00,998.48,0.00,0.00,2477.04
"Air Filter Plus",0.00,0.00,0.00,1176.54,3261.76,0.00,0.00,0.00,0.00,0.00,1586.54,0.00,6024.84
"Air Filter Supply",27372.38,43578.45,60457.66,24802.42,29895.56,49574.02,37008.21,36521.10,34690.40,49189.84,86637.34,60350.45,540077.83
"Air Filters Northwest",0.00,10297.90,951.20,9936.00,3034.26,4312.20,25640.30,0.00,0.00,0.00,10224.28,9636.80,74032.94
"Air Filtration Solutions",1500.48,0.00,0.00,0.00,694.72,3597.37,0.00,3411.66,0.00,0.00,552.93,3724.53,13481.69
"Air Liquide",0.00,0.00,0.00,733.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,733.50
"Air Service Specialist",3508.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3508.36
"Air Temperature  Control",3528.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3528.70
"Alaska Electric & Energy Cooperative, Inc",0.00,0.00,5460.00,0.00,0.00,0.00,45198.40,0.00,0.00,0.00,0.00,0.00,50658.40
"Alhambra Hospital Medical Center",584.12,850.96,0.00,0.00,1429.01,0.00,0.00,5287.85,1027.68,0.00,0.00,0.00,9179.62
"Alpha Tau Medical Inc",3617.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6592.68,0.00,0.00,0.00,10210.60
"Amazon - LAS1-IXD",14526.41,9150.46,13181.42,14013.54,8398.13,9600.28,4236.42,8010.28,7716.80,7533.16,9361.20,8819.45,114547.55
"American Air Balance Co, Inc.",0.00,0.00,0.00,0.00,3198.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3198.16
"AMI Filtration",2455.40,19468.77,5017.42,6472.71,720.50,1694.76,0.00,711.59,0.00,0.00,13474.78,1656.72,51672.65
"Antelope Valley Union School District",0.00,0.00,11551.73,0.00,8529.91,0.00,3636.92,1318.77,0.00,6902.21,3355.61,0.00,35295.15
"Apex Solutions",24895.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24895.71
"Applied Air Filters",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5000.84,0.00,0.00,5000.84
