,"Jan 23","Feb 23","Mar 23","Apr 23","May 23","Jun 23","Jul 23","Aug 23","Sep 23","Oct 23","Nov 23","Dec 23","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"Uncategorized","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"Inventory","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"012-100093 (Down Stream Gasketing, Neoprene)",0,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,640,211.20,0.0%,0.33,0.00,0.00,0.0%,0.00,780,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1420.00,211.20,0.0%,0.15
"012-100096 (Upstream Gasketing)",1440,734.40,0.1%,0.51,960,489.60,0.0%,0.51,1920,979.20,0.1%,0.51,200,110.00,0.0%,0.55,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4520.00,2313.20,0.0%,0.51
"012-SCE-.25 (Sponge, SCE41, 0.25"" thick   .25"" x.492 x 22.625""L)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,316,297.04,0.0%,0.94,192,314.88,0.0%,1.64,4708,850.20,0.1%,0.18,896,851.20,0.1%,0.95,6112.00,2313.32,0.0%,0.38
"1010-3ply (10x10 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,11.56,0.0%,5.78,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,11.56,0.0%,5.78,4.00,23.12,0.0%,5.78
"1020-3ply (10x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.25,0.0%,6.25,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1.00,6.25,0.0%,6.25
"1025-3ply (10x25 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,24.88,0.0%,6.22,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,24.88,0.0%,6.22
"1142-2ply (11x42 MZP 2-Ply Poly Panel)",80,1560.80,0.2%,19.51,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,128,2497.28,0.3%,19.51,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,64,1248.64,0.1%,19.51,0.00,0.00,0.0%,0.00,272.00,5306.72,0.0%,19.51
"12.24.2 Nova Pleat (12x24x2 NovaPleat No Wire)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,36,451.44,0.0%,12.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,12,150.48,0.0%,12.54,12,150.48,0.0%,12.54,0.00,0.00,0.0%,0.00,12,150.48,0.0%,12.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,72.00,902.88,0.0%,12.54
"1212-3Ply (12x12 3-Ply Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.66,0.0%,6.66,1.00,6.66,0.0%,6.66
"12120-3ply (12x120 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,59.24,0.0%,29.62,2,59.24,0.0%,29.62,0.00,0.00,0.0%,0.00,4,118.48,0.0%,29.62,2,59.24,0.0%,29.62,2,59.24,0.0%,29.62,2,59.24,0.0%,29.62,14.00,414.68,0.0%,29.62
"12144-2PLY-6L (12x144 2 Ply Poly Panel)",1,33.13,0.0%,33.13,0.00,0.00,0.0%,0.00,1,33.13,0.0%,33.13,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,66.26,0.0%,33.13
"12144-3PLY-6L (12x144 3 Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,33.13,0.0%,33.13,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1.00,33.13,0.0%,33.13
"1218-5050WW-P (12x18 2-Ply Panel)",2,9.00,0.0%,4.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,9.00,0.0%,4.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,9.00,0.0%,4.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,9.00,0.0%,4.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8.00,36.00,0.0%,4.50
"1220-3ply (12x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,10.66,0.0%,5.33,0.00,0.00,0.0%,0.00,2,10.66,0.0%,5.33,0.00,0.00,0.0%,0.00,2,10.66,0.0%,5.33,2,10.66,0.0%,5.33,2,10.66,0.0%,5.33,1,5.33,0.0%,5.33,11.00,58.63,0.0%,5.33
"1224-2ply (12x24 2-Ply Poly Panel)",17,107.22,0.0%,6.31,15,98.58,0.0%,6.57,20,159.90,0.0%,8.00,15,98.58,0.0%,6.57,41,247.56,0.0%,6.04,18,144.96,0.0%,8.05,16,108.70,0.0%,6.79,0.00,0.00,0.0%,0.00,39,280.02,0.0%,7.18,6,36.48,0.0%,6.08,15,100.38,0.0%,6.69,18,146.76,0.0%,8.15,220.00,1529.14,0.0%,6.95
"1224-3ply (12x24 3-Ply Poly Panel)",3,17.70,0.0%,5.90,0.00,0.00,0.0%,0.00,3,17.70,0.0%,5.90,32,186.88,0.0%,5.84,28,149.24,0.0%,5.33,24,129.63,0.0%,5.40,31,168.89,0.0%,5.45,2,14.94,0.0%,7.47,41,218.53,0.0%,5.33,14,76.33,0.0%,5.45,29,154.57,0.0%,5.33,14,74.62,0.0%,5.33,221.00,1209.03,0.0%,5.47
"1243-3ply (12x43 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,11.51,0.0%,11.51,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1.00,11.51,0.0%,11.51
"1272-3Ply (12x72 3-Ply Poly Panel Special)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,60.39,0.0%,20.13,0.00,0.00,0.0%,0.00,1,20.13,0.0%,20.13,1,20.13,0.0%,20.13,0.00,0.00,0.0%,0.00,1,20.13,0.0%,20.13,6.00,120.78,0.0%,20.13
"1296-3Ply (12x96 3-Ply Poly Panel Special)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,94.95,0.0%,31.65,0.00,0.00,0.0%,0.00,3,94.95,0.0%,31.65,0.00,0.00,0.0%,0.00,3,94.95,0.0%,31.65,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,94.95,0.0%,31.65,12.00,379.80,0.0%,31.65
"1321-3ply (13x21 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.85,0.0%,6.85,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.85,0.0%,6.85,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.85,0.0%,6.85,3.00,20.55,0.0%,6.85
"1322-3ply (13x22 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,7.10,0.0%,7.10,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,7.10,0.0%,7.10,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,14.20,0.0%,7.10,4.00,28.40,0.0%,7.10
"1414-3ply (14x14 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,13.20,0.0%,6.60,3,19.80,0.0%,6.60,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,13.20,0.0%,6.60,3,19.80,0.0%,6.60,10.00,66.00,0.0%,6.60
"1419-3ply (14x19 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,67.40,0.0%,6.74,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,8,53.92,0.0%,6.74,0.00,0.00,0.0%,0.00,18.00,121.32,0.0%,6.74
"1424-2ply (14x24 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,14.46,0.0%,7.23,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,14.46,0.0%,7.23,0.00,0.00,0.0%,0.00,4.00,28.92,0.0%,7.23
"1424-3ply (14x24 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,39.84,0.0%,6.64,1,6.64,0.0%,6.64,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.64,0.0%,6.64,0.00,0.00,0.0%,0.00,6,39.84,0.0%,6.64,1,6.64,0.0%,6.64,15.00,99.60,0.0%,6.64
"1425-2ply (14x25 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,9.14,0.0%,4.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,9.14,0.0%,4.57
"1425-3ply (14x25 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,17.31,0.0%,5.77,37,213.49,0.0%,5.77,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,23.08,0.0%,5.77,0.00,0.00,0.0%,0.00,1,5.77,0.0%,5.77,38,219.26,0.0%,5.77,83.00,478.91,0.0%,5.77
"1428-3ply (14x28 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,23.49,0.0%,7.83,2,15.66,0.0%,7.83,0.00,0.00,0.0%,0.00,3,23.49,0.0%,7.83,2,15.66,0.0%,7.83,0.00,0.00,0.0%,0.00,2,15.66,0.0%,7.83,12.00,93.96,0.0%,7.83
"1430-3Ply (14x30 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,42.24,0.0%,10.56,0.00,0.00,0.0%,0.00,4,42.24,0.0%,10.56,0.00,0.00,0.0%,0.00,8.00,84.48,0.0%,10.56
"1438-3ply (14x38 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,20.86,0.0%,10.43,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,31.29,0.0%,10.43,5.00,52.15,0.0%,10.43
"1444-3ply (14x44 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,29.82,0.0%,14.91,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,29.82,0.0%,14.91,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,59.64,0.0%,14.91
"1520-3ply (15x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,6,32.82,0.0%,5.47,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,21.88,0.0%,5.47,0.00,0.00,0.0%,0.00,2,10.94,0.0%,5.47,2,10.94,0.0%,5.47,14.00,76.58,0.0%,5.47
"1520-5050WW-P (15x20 2-Ply Panel)",1,4.92,0.0%,4.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,4.92,0.0%,4.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,4.92,0.0%,4.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,4.92,0.0%,4.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,19.68,0.0%,4.92
"1530-3Ply (15x30 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.65,0.0%,6.65,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1.00,6.65,0.0%,6.65
"15305/8-3Ply (15x30 -5/8 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,14,95.20,0.0%,6.80,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,14,95.20,0.0%,6.80,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,22,149.60,0.0%,6.80,50.00,340.00,0.0%,6.80
"1616-3Ply (16x16 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,20.32,0.0%,5.08,16,81.28,0.0%,5.08,13,66.04,0.0%,5.08,0.00,0.00,0.0%,0.00,20,101.60,0.0%,5.08,21,106.68,0.0%,5.08,4,20.32,0.0%,5.08,20,101.60,0.0%,5.08,98.00,497.84,0.0%,5.08
"1620-2Ply (16x20 2-Ply Poly Panels)",1,4.94,0.0%,4.94,0.00,0.00,0.0%,0.00,4,64.92,0.0%,16.23,27,133.90,0.0%,4.96,0.00,0.00,0.0%,0.00,28,267.72,0.0%,9.56,2,14.72,0.0%,7.36,0.00,0.00,0.0%,0.00,4,64.92,0.0%,16.23,2,14.72,0.0%,7.36,0.00,0.00,0.0%,0.00,8,88.08,0.0%,11.01,76.00,653.92,0.0%,8.60
