,"Jan 21 - 31, 25","Feb 25","Mar 25","Apr 25","May 25","Jun 25","Jul 25","Aug 25","Sep 25","Oct 25","Nov 25","Dec 25","TOTAL"
,"Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price","Qty","Amount","% of Sales","Avg Price"
"Uncategorized","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"Inventory","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"","","",,"",,,,""
"012-SCE-.25 (Sponge, SCE41, 0.25"" thick   .25"" x.492 x 22.625""L)",0.00,0.00,0.0%,0.00,368,576.48,0.1%,1.57,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,96,236.16,0.0%,2.46,96,62.40,0.0%,0.65,720,676.80,0.1%,0.94,0.00,0.00,0.0%,0.00,136,44.88,0.0%,0.33,1416.00,1596.72,0.0%,1.13
"07-4040-02-MT (Lamp, 33"" V-MAX / V-MAX Grid Encapsulated)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,861.52,0.1%,215.38,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,861.52,0.0%,215.38
"1020-3ply (10x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,15.08,0.0%,7.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,15.08,0.0%,7.54
"1025-3ply (10x25 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,16.68,0.0%,8.34,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,16.68,0.0%,8.34
"1040-2ply (10x40 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,38.49,0.0%,12.83,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,25.66,0.0%,12.83,0.00,0.00,0.0%,0.00,5.00,64.15,0.0%,12.83
"1080-2ply (10x80 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,44.90,0.0%,22.45,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,44.90,0.0%,22.45,0.00,0.00,0.0%,0.00,4.00,89.80,0.0%,22.45
"1142-2ply (11x42 MZP 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,64,1383.68,0.1%,21.62,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,92,1989.04,0.2%,21.62,0.00,0.00,0.0%,0.00,64,1383.68,0.1%,21.62,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,220.00,4756.40,0.0%,21.62
"1212-2Ply (12x12 2-Ply Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.30,0.0%,5.30,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.30,0.0%,5.30,2,19.50,0.0%,9.75,0.00,0.00,0.0%,0.00,1,5.30,0.0%,5.30,0.00,0.00,0.0%,0.00,1,5.30,0.0%,5.30,6.00,40.70,0.0%,6.78
"1212-3Ply (12x12 3-Ply Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4,38.43,0.0%,9.61,1,9.18,0.0%,9.18,5,48.75,0.0%,9.75,1,9.18,0.0%,9.18,0.00,0.00,0.0%,0.00,4,38.43,0.0%,9.61,0.00,0.00,0.0%,0.00,1,9.18,0.0%,9.18,0.00,0.00,0.0%,0.00,4,38.43,0.0%,9.61,20.00,191.58,0.0%,9.58
"12120-2ply (12x120 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,2,56.16,0.0%,28.08,2,56.16,0.0%,28.08,2,56.16,0.0%,28.08,2,56.16,0.0%,28.08,2,56.16,0.0%,28.08,2,56.16,0.0%,28.08,4,112.32,0.0%,28.08,2,93.00,0.0%,46.50,2,56.16,0.0%,28.08,2,56.16,0.0%,28.08,4,112.32,0.0%,28.08,26.00,766.92,0.0%,29.50
"1218-2ply (12x18 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,12.34,0.0%,6.17,0.00,0.00,0.0%,0.00,1,6.17,0.0%,6.17,2,12.34,0.0%,6.17,1,6.17,0.0%,6.17,0.00,0.00,0.0%,0.00,3,18.51,0.0%,6.17,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,9.00,55.53,0.0%,6.17
"1220-2ply (12x20 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,2,10.96,0.0%,5.48,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,10.96,0.0%,5.48,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,10.96,0.0%,5.48,2,10.96,0.0%,5.48,0.00,0.00,0.0%,0.00,2,10.96,0.0%,5.48,0.00,0.00,0.0%,0.00,10.00,54.80,0.0%,5.48
"1220-3ply (12x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,15.28,0.0%,7.64,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,15.28,0.0%,7.64
"1224-2ply (12x24 2-Ply Poly Panel)",36,238.32,0.0%,6.62,60,359.84,0.0%,6.00,142,892.56,0.0%,6.29,35,211.22,0.0%,6.03,49,327.61,0.0%,6.69,78,459.76,0.0%,5.89,194,1131.84,0.1%,5.83,143,836.00,0.1%,5.85,112,660.44,0.1%,5.90,167,1014.06,0.1%,6.07,109,653.77,0.1%,6.00,141,833.76,0.0%,5.91,1266.00,7619.18,0.1%,6.02
"1224-3ply (12x24 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,-183,-2375.95,-0.1%,12.98,10,85.70,0.0%,8.57,13,161.60,0.0%,12.43,16,129.20,0.0%,8.08,0.00,0.00,0.0%,0.00,20,221.59,0.0%,11.08,0.00,0.00,0.0%,0.00,13,104.36,0.0%,8.03,0.00,0.00,0.0%,0.00,47,552.10,0.0%,11.75,-64.00,-1121.40,-0.0%,17.52
"1238-2ply (12x38 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,11.28,0.0%,11.28,0.00,0.00,0.0%,0.00,1.00,11.28,0.0%,11.28
"1243-2ply (12x43 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,1,11.35,0.0%,11.35,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,11.35,0.0%,11.35,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,11.35,0.0%,11.35,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,11.35,0.0%,11.35,0.00,0.00,0.0%,0.00,4.00,45.40,0.0%,11.35
"1272-2Ply (12x72 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,1,16.85,0.0%,16.85,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,16.85,0.0%,16.85,0.00,0.00,0.0%,0.00,1,18.85,0.0%,18.85,1,16.85,0.0%,16.85,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,16.85,0.0%,16.85,0.00,0.00,0.0%,0.00,5.00,86.25,0.0%,17.25
"1272-3Ply (12x72 3-Ply Poly Panel Special)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,49.68,0.0%,24.84,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2.00,49.68,0.0%,24.84
"1296-2ply (12x96 2-Ply Poly Panel Special)",0.00,0.00,0.0%,0.00,3,78.24,0.0%,26.08,3,78.24,0.0%,26.08,3,78.24,0.0%,26.08,3,78.24,0.0%,26.08,3,78.24,0.0%,26.08,3,78.24,0.0%,26.08,6,156.48,0.0%,26.08,1,27.48,0.0%,27.48,3,78.24,0.0%,26.08,3,78.24,0.0%,26.08,6,156.48,0.0%,26.08,37.00,966.36,0.0%,26.12
"1321-2ply (13x21 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.05,0.0%,6.05,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.05,0.0%,6.05,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.05,0.0%,6.05,0.00,0.00,0.0%,0.00,1,6.05,0.0%,6.05,4.00,24.20,0.0%,6.05
"1321-3ply (13x21 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,19.40,0.0%,9.70,0.00,0.00,0.0%,0.00,2,19.40,0.0%,9.70,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,19.40,0.0%,9.70,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,19.40,0.0%,9.70,8.00,77.60,0.0%,9.70
"1322-2ply (13x22 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.75,0.0%,5.75,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,11.50,0.0%,5.75,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.75,0.0%,5.75,0.00,0.00,0.0%,0.00,2,12.10,0.0%,6.05,6.00,35.10,0.0%,5.85
"1414-2ply (14x14 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,9.84,0.0%,4.92,3,14.76,0.0%,4.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,5,25.32,0.0%,5.06,10.00,49.92,0.0%,4.99
"1414-3ply (14x14 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,32.70,0.0%,10.90,0.00,0.00,0.0%,0.00,3,32.70,0.0%,10.90,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,32.70,0.0%,10.90,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,32.70,0.0%,10.90,12.00,130.80,0.0%,10.90
"1419-2ply (14x19 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,55.40,0.0%,5.54,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,10,55.40,0.0%,5.54,20.00,110.80,0.0%,5.54
"1420-2ply (14x20 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.03,0.0%,6.03,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.03,0.0%,6.03,0.00,0.00,0.0%,0.00,2.00,12.06,0.0%,6.03
"1420-3ply (14x20 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,29.00,0.0%,14.50,0.00,0.00,0.0%,0.00,2,29.00,0.0%,14.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,29.00,0.0%,14.50,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,29.00,0.0%,14.50,8.00,116.00,0.0%,14.50
"1424-2ply (14x24 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.97,0.0%,5.97,0.00,0.00,0.0%,0.00,6,35.82,0.0%,5.97,1,5.97,0.0%,5.97,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,5.97,0.0%,5.97,0.00,0.00,0.0%,0.00,7,42.08,0.0%,6.01,16.00,95.81,0.0%,5.99
"1425-2ply (14x25 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,12.12,0.0%,6.06,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,31,187.86,0.0%,6.06,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,12.12,0.0%,6.06,0.00,0.00,0.0%,0.00,31,187.86,0.0%,6.06,66.00,399.96,0.0%,6.06
"1428-2ply (14x28 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,2,15.08,0.0%,7.54,0.00,0.00,0.0%,0.00,2,15.08,0.0%,7.54,2,15.08,0.0%,7.54,0.00,0.00,0.0%,0.00,2,15.08,0.0%,7.54,2,15.08,0.0%,7.54,0.00,0.00,0.0%,0.00,2,15.08,0.0%,7.54,2,15.08,0.0%,7.54,2,15.08,0.0%,7.54,16.00,120.64,0.0%,7.54
"1430-3Ply (14x30 3-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,23,340.20,0.0%,14.79,2,27.30,0.0%,13.65,21,312.90,0.0%,14.90,2,27.30,0.0%,13.65,0.00,0.00,0.0%,0.00,24,355.10,0.0%,14.80,0.00,0.00,0.0%,0.00,2,27.30,0.0%,13.65,0.00,0.00,0.0%,0.00,23,340.20,0.0%,14.79,97.00,1430.30,0.0%,14.75
"1438-2ply (14x38 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,30.90,0.0%,10.30,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,30.90,0.0%,10.30,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,30.90,0.0%,10.30,0.00,0.00,0.0%,0.00,1,10.30,0.0%,10.30,10.00,103.00,0.0%,10.30
"1444-2ply (14x44 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,2,30.76,0.0%,15.38,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,2,30.76,0.0%,15.38,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,42.91,0.0%,14.30,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,36.45,0.0%,12.15,0.00,0.00,0.0%,0.00,10.00,140.88,0.0%,14.09
"1520-2ply (15x20 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.88,0.0%,6.88,0.00,0.00,0.0%,0.00,1,6.88,0.0%,6.88,1,6.88,0.0%,6.88,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,1,6.88,0.0%,6.88,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,4.00,27.52,0.0%,6.88
"1530-2Ply (15x30 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3,23.61,0.0%,7.87,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,3.00,23.61,0.0%,7.87
"15305/8-2Ply (15x30 5/8 2-Ply Poly Panel)",0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,14,110.88,0.0%,7.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,11,87.12,0.0%,7.92,0.00,0.00,0.0%,0.00,0.00,0.00,0.0%,0.00,14,110.88,0.0%,7.92,0.00,0.00,0.0%,0.00,7,55.44,0.0%,7.92,46.00,364.32,0.0%,7.92
